This document was created from the <<characters>> element in the source file S10160.xml
	Begin ISAtab output:
 == Output of Study.xsl: ==
"Source Name"	"Characteristics[OTU name]"	"Row OTU id"	"Term Source REF"	"Term Access Number"	"Sample Name"	"Characters OTUs Group id"	"Number of Taxa in Sample Matrix"	"Number of Characters in Sample Matrix"	"Character Matrix Type"	
"Row187236"	"Apalone ferox"	"Tl241245"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187237"	"Apalone mutica"	"Tl241294"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187238"	"Trionyx triunguis"	"Tl241251"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187239"	"Geochelone sulcata"	"Tl242366"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187240"	"Testudo horsfieldii"	"Tl241296"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187241"	"Testudo kleinmanni"	"Tl241286"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187242"	"Testudo marginata"	"Tl242382"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187243"	"Pelodiscus sinensis"	"Tl241219"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187244"	"Homopus solus"	"Tl242304"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187245"	"Sternotherus odoratus"	"Tl241223"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187246"	"Kinosternon baurii"	"Tl241207"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187247"	"Kinosternon flavescens"	"Tl241284"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187248"	"Kinosternon subrubrum"	"Tl242314"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187249"	"Astrochelys yniphora"	"Tl241260"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187250"	"Terrapene carolina"	"Tl241274"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187251"	"Terrapene coahuila"	"Tl241258"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187252"	"Terrapene nelsoni"	"Tl242360"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187253"	"Deirochelys reticularia"	"Tl241283"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187254"	"Dogania subplana"	"Tl241247"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187255"	"Amyda cartilaginea"	"Tl241273"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187256"	"Palea steindachneri"	"Tl241214"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187257"	"Macrochelys temminckii"	"Tl241264"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187258"	"Dipsochelys dussumieri"	"Tl241297"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187259"	"Psammobates pardalis"	"Tl241265"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187260"	"Pelochelys bibroni"	"Tl241302"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187261"	"Pelochelys cantorii"	"Tl241276"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187262"	"Chitra indica"	"Tl241256"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187263"	"Chitra chitra"	"Tl241210"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187264"	"Peltocephalus dumerilianus"	"Tl241298"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187265"	"Dipsochelys hololissa"	"Tl241244"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187266"	"Dipsochelys arnoldi"	"Tl241204"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187267"	"Cuora trifasciata"	"Tl241199"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187268"	"Cuora pani"	"Tl241234"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187269"	"Cuora yunnanensis"	"Tl242343"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187270"	"Mauremys japonica"	"Tl241301"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187271"	"Mauremys leprosa"	"Tl242328"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187272"	"Dipsochelys grandidieri"	"Tl242384"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187273"	"Cylindraspis inepta"	"Tl242349"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187274"	"Cylindraspis indica"	"Tl242374"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187275"	"Cylindraspis peltastes"	"Tl242312"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187276"	"Cylindraspis vosmaeri"	"Tl242318"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187277"	"Geochelone elegans"	"Tl241293"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187278"	"Batagur baska"	"Tl241267"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187279"	"Mauremys caspica"	"Tl241195"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187280"	"Mauremys rivulata"	"Tl242344"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187281"	"Chelonoidis denticulata"	"Tl241222"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187282"	"Sacalia bealei"	"Tl242371"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187283"	"Hardella thurjii"	"Tl242329"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187284"	"Cuora zhoui"	"Tl241209"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187285"	"Notochelys platynota"	"Tl241203"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187286"	"Geoemyda japonica"	"Tl242362"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187287"	"Mauremys annamensis"	"Tl241308"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187288"	"Cuora flavomarginata"	"Tl241279"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187289"	"Cuora galbinifrons"	"Tl241239"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
"Row187290"	"Trachemys stejnegeri"	"Tl241225"	""	""	"M4188"	"Tls14408"	"213"	"10000"	"DNA"	
